technician_id,hospital_id,assigned_hospital_id,name,qualification,phone_number,email_address
58,57,157,Sarah Navarro,Medical Lab Technician,514-393-0650,sarah.navarro@labservices.ca
59,266,,Anthony Gonzalez,Serology Technician,418-889-7893,anthony.gonzalez@healthcare.com
60,199,,Shannon Wilson,Medical Laboratory Assistant,438-629-9707,shannon.wilson@healthcare.com
61,187,,Lisa Clark,Blood Bank Specialist,450-636-9063,lisa.clark@labservices.ca
62,192,174,Tom Evans,Immunology Technician,514-075-1638,tom.evans@healthcare.com
63,26,23,Amanda Foster,Tissue Typing Specialist,438-747-4691,amanda.foster@medcenter.ca
64,162,,Caleb Sparks,Clinical Trials Coordinator,450-827-1653,caleb.sparks@healthcare.com
65,235,,Brian Lee,Certified Phlebotomist,438-515-8346,brian.lee@labservices.ca
66,17,276,Devin Jones,Quality Control Analyst,418-650-2642,devin.jones@healthcare.com
67,154,57,Michael Flores,Toxicology Technician,514-569-2506,michael.flores@healthcare.com
68,76,,Terry Thomas,Tissue Typing Specialist,514-412-0346,terry.thomas@labservices.ca
69,193,122,Mrs. Lisa Washington,Tissue Typing Specialist,450-745-3184,mrs.lisa.washington@medcenter.ca
70,150,,Michael Buchanan,Clinical Trials Coordinator,450-879-4282,michael.buchanan@healthcare.com
71,49,268,Jennifer Perez,Clinical Research Technician,438-220-4204,jennifer.perez@medcenter.ca
72,175,,John Wells,Blood Transfusion Officer,418-707-2256,john.wells@healthcare.com
73,208,89,Matthew Flores,Pathology Assistant,418-853-8015,matthew.flores@medcenter.ca
74,36,,Tony Reed,Laboratory Supervisor,418-475-3495,tony.reed@labservices.ca
75,248,,Julie Brown,Quality Control Analyst,514-030-1895,julie.brown@healthcare.com
76,113,274,Jenna Gonzalez,Toxicology Technician,514-195-8459,jenna.gonzalez@medcenter.ca
77,119,,Carly Chang,Laboratory Supervisor,450-132-3472,carly.chang@medcenter.ca
78,185,,Wayne Huynh,Blood Bank Specialist,438-383-2089,wayne.huynh@hospital.ca
79,288,147,Rebecca Sheppard,Diagnostic Technician,418-046-1825,rebecca.sheppard@labservices.ca
80,205,115,Tamara Mason,Toxicology Technician,514-482-0742,tamara.mason@hospital.ca
81,98,52,Joshua Anderson,Biomedical Scientist,514-147-4697,joshua.anderson@labservices.ca
82,234,,Stephanie Stein,Medical Lab Technician,438-445-0006,stephanie.stein@hospital.ca
83,260,,Jonathan Campbell,Laboratory Supervisor,418-052-5103,jonathan.campbell@medcenter.ca
84,270,,Steven Kline,Diagnostic Technician,438-699-4755,steven.kline@hospital.ca
85,23,,Danielle Jones,Clinical Research Technician,438-405-8324,danielle.jones@medcenter.ca
86,285,271,Sarah Johnson,Immunology Technician,438-812-0535,sarah.johnson@labservices.ca
87,212,,John Cummings,Certified Phlebotomist,438-323-5030,john.cummings@labservices.ca
88,182,276,Lauren Mcdonald,Diagnostic Technician,514-647-5643,lauren.mcdonald@medcenter.ca
89,274,74,Daniel Pennington,Pathology Assistant,418-734-8473,daniel.pennington@labservices.ca
90,144,,Carlos Washington,Clinical Biochemist,418-620-4426,carlos.washington@healthcare.com
91,,,Amy Brown,Medical Laboratory Assistant,450-985-6942,amy.brown@hospital.ca
92,,,Renee Mercer,Immunology Technician,418-704-2182,renee.mercer@medcenter.ca
93,159,81,Stacey Munoz,Pathology Assistant,438-161-2684,stacey.munoz@medcenter.ca
94,243,,Diane Velasquez,Blood Bank Specialist,418-533-6989,diane.velasquez@labservices.ca
95,32,,Regina Smith,Hematology Technician,514-438-3292,regina.smith@healthcare.com
96,226,,Jennifer Reid,Clinical Laboratory Technologist,438-499-5903,jennifer.reid@labservices.ca
97,169,,Abigail Drake,Laboratory Supervisor,438-321-7235,abigail.drake@medcenter.ca
98,268,,Gregory Crosby,Hematology Technician,514-578-2303,gregory.crosby@healthcare.com
99,6,123,Erica Taylor,Clinical Laboratory Technologist,514-331-0876,erica.taylor@medcenter.ca
100,255,,Jonathan Lowe,Hematology Technician,418-479-5699,jonathan.lowe@medcenter.ca
101,141,,Richard Frey,Medical Lab Technician,514-012-0794,richard.frey@hospital.ca
102,33,,Sandy Burke MD,Clinical Research Technician,450-111-8118,sandy.burke.md@healthcare.com
103,164,,Kayla Horton,Toxicology Technician,514-378-0005,kayla.horton@medcenter.ca
104,213,,Sharon Spencer,Toxicology Technician,418-042-9865,sharon.spencer@medcenter.ca
105,191,24,Jeff Rodriguez,Blood Bank Specialist,450-665-4958,jeff.rodriguez@healthcare.com
106,19,86,Craig Moore,Medical Lab Technician,450-090-1304,craig.moore@healthcare.com
107,161,62,Susan Ferguson,Hematology Technician,438-507-7953,susan.ferguson@healthcare.com
108,,249,Mr. Joshua Mccoy,Biomedical Scientist,450-737-0603,mr.joshua.mccoy@medcenter.ca
109,165,,Karen Berry,Laboratory Supervisor,514-984-7016,karen.berry@labservices.ca
110,181,,Matthew Brown,Diagnostic Technician,438-739-1056,matthew.brown@medcenter.ca
111,96,157,Kayla Mullins,Clinical Trials Coordinator,438-113-9478,kayla.mullins@hospital.ca
112,,,Sarah Stevenson,Blood Transfusion Officer,438-635-9717,sarah.stevenson@medcenter.ca
113,238,188,Steven Ramirez,Quality Control Analyst,450-812-9912,steven.ramirez@medcenter.ca
114,141,,Sarah Barnes,Blood Transfusion Officer,438-984-3257,sarah.barnes@healthcare.com
115,32,,Randy Gomez,Hematology Technician,438-267-9758,randy.gomez@medcenter.ca
116,213,,Sara Hendrix,Immunology Technician,418-719-7525,sara.hendrix@labservices.ca
117,244,177,Justin Howe,Clinical Trials Coordinator,514-162-1350,justin.howe@medcenter.ca
118,295,,Randy Jackson,Tissue Typing Specialist,450-423-0773,randy.jackson@medcenter.ca
119,80,,Sherri Bird,Medical Lab Technician,514-995-4320,sherri.bird@labservices.ca
120,236,45,Emma Mcdonald,Clinical Trials Coordinator,418-900-1214,emma.mcdonald@labservices.ca
121,189,45,Frank Franklin,Blood Transfusion Officer,418-381-8700,frank.franklin@labservices.ca
122,283,,Tanya Coleman,Medical Laboratory Assistant,438-571-7664,tanya.coleman@medcenter.ca
123,208,,Anne Tucker,Clinical Biochemist,438-534-0455,anne.tucker@medcenter.ca
124,211,,James Smith,Certified Phlebotomist,438-165-2997,james.smith@labservices.ca
125,178,195,Mrs. Ashley Lee DDS,Hematology Technician,438-674-5108,mrs.ashley.lee.dds@hospital.ca
126,161,61,Steven Hall,Blood Bank Specialist,450-128-1160,steven.hall@hospital.ca
127,80,66,Cynthia Foley,Biomedical Scientist,514-332-3148,cynthia.foley@hospital.ca
128,139,,William Gentry,Toxicology Technician,450-366-1533,william.gentry@medcenter.ca
129,64,,David Yoder,Diagnostic Technician,438-937-4063,david.yoder@labservices.ca
130,291,,Lisa Baker,Blood Bank Specialist,450-324-0457,lisa.baker@healthcare.com
131,276,,Carol Vasquez,Clinical Laboratory Technologist,450-158-8893,carol.vasquez@hospital.ca
132,7,,Lori Robles,Pathology Assistant,418-147-0112,lori.robles@labservices.ca
133,207,111,Daniel Long,Biomedical Scientist,450-116-7522,daniel.long@medcenter.ca
134,,186,Elizabeth Morris,Immunology Technician,450-170-5735,elizabeth.morris@hospital.ca
135,80,,Laura Pittman,Clinical Trials Coordinator,438-831-9360,laura.pittman@hospital.ca
136,68,,Laura Garcia,Toxicology Technician,450-293-5732,laura.garcia@healthcare.com
137,136,,Renee Collier,Pathology Assistant,514-528-2564,renee.collier@healthcare.com
138,,,Audrey Brown,Clinical Laboratory Technologist,418-496-4480,audrey.brown@medcenter.ca
139,283,,Keith Davis,Quality Control Analyst,438-869-5518,keith.davis@hospital.ca
140,,193,Bradley Smith,Tissue Typing Specialist,418-997-1776,bradley.smith@medcenter.ca
141,78,251,Megan Campbell,Clinical Biochemist,418-958-4457,megan.campbell@healthcare.com
142,72,,Christopher Oconnell,Blood Transfusion Officer,418-542-5438,christopher.oconnell@hospital.ca
143,158,,Robin Miller,Certified Phlebotomist,438-042-8368,robin.miller@healthcare.com
144,252,,Adam Lopez,Diagnostic Technician,514-596-8007,adam.lopez@medcenter.ca
145,36,,Jessica Perez,Immunology Technician,418-112-0628,jessica.perez@labservices.ca
146,17,,Dr. Amanda Ruiz,Quality Control Analyst,438-484-9565,dr.amanda.ruiz@healthcare.com
147,192,30,Larry Pena,Tissue Typing Specialist,450-293-8406,larry.pena@medcenter.ca
148,235,,Jessica Knight MD,Quality Control Analyst,438-494-4972,jessica.knight.md@hospital.ca
149,227,,Roy Jacobs,Biomedical Scientist,438-535-8544,roy.jacobs@healthcare.com
150,31,290,Joshua Stone,Blood Bank Specialist,450-053-7678,joshua.stone@labservices.ca
151,25,30,Ian Watson,Serology Technician,450-486-9155,ian.watson@healthcare.com
152,240,,Heather Ritter,Tissue Typing Specialist,438-111-9932,heather.ritter@medcenter.ca
153,243,140,Matthew Sanders,Clinical Biochemist,450-396-5446,matthew.sanders@hospital.ca
154,153,,Chad Williams,Blood Transfusion Officer,450-391-9342,chad.williams@medcenter.ca
155,235,,Matthew Wolfe,Hematology Technician,438-803-2618,matthew.wolfe@healthcare.com
156,167,,Walter Meyer,Clinical Research Technician,514-930-9018,walter.meyer@healthcare.com
157,93,,Lisa Murphy,Medical Lab Technician,514-726-1218,lisa.murphy@medcenter.ca
158,59,281,Aaron Williams,Toxicology Technician,450-910-3519,aaron.williams@healthcare.com
159,125,272,Ashley Miller,Certified Phlebotomist,418-230-8889,ashley.miller@hospital.ca
160,174,,Paul Reid,Certified Phlebotomist,418-634-2564,paul.reid@labservices.ca
161,196,,Rachel Sanders,Blood Bank Specialist,514-777-6519,rachel.sanders@healthcare.com
162,,,Larry Smith,Tissue Typing Specialist,450-037-9871,larry.smith@hospital.ca
163,208,,Lindsay Moon,Quality Control Analyst,514-016-2651,lindsay.moon@labservices.ca
164,150,,Julia Owen,Laboratory Supervisor,438-760-8405,julia.owen@hospital.ca
165,276,26,Darryl Hall,Clinical Trials Coordinator,438-591-3402,darryl.hall@medcenter.ca
166,45,,Steven Nolan,Immunology Technician,450-719-0623,steven.nolan@medcenter.ca
167,290,162,Jennifer Beard,Laboratory Supervisor,438-719-2473,jennifer.beard@labservices.ca
168,224,,Willie Pope,Laboratory Supervisor,514-699-1438,willie.pope@healthcare.com
169,91,,Stephanie Rhodes,Medical Laboratory Assistant,418-597-8017,stephanie.rhodes@medcenter.ca
170,141,214,Carol Collins,Certified Phlebotomist,438-213-3781,carol.collins@healthcare.com
171,183,299,Steven Jones,Medical Laboratory Assistant,438-434-3988,steven.jones@labservices.ca
172,255,,Michelle Ray,Clinical Research Technician,514-609-6062,michelle.ray@labservices.ca
173,72,119,Miranda Collins,Toxicology Technician,450-374-8279,miranda.collins@medcenter.ca
174,19,,Carolyn Paul,Serology Technician,514-227-5146,carolyn.paul@hospital.ca
175,88,,William Taylor,Hematology Technician,514-664-8604,william.taylor@medcenter.ca
176,37,299,Megan Gilbert,Immunology Technician,438-826-2318,megan.gilbert@medcenter.ca
177,38,198,Jorge Rosario,Certified Phlebotomist,418-452-3596,jorge.rosario@medcenter.ca
178,190,,Thomas Terrell,Laboratory Supervisor,418-129-5392,thomas.terrell@hospital.ca
179,44,56,Elizabeth Baker,Blood Transfusion Officer,438-279-9784,elizabeth.baker@labservices.ca
180,118,87,Gregory Smith,Biomedical Scientist,418-831-3563,gregory.smith@healthcare.com
181,50,,Leslie Hoover,Blood Transfusion Officer,418-595-5223,leslie.hoover@hospital.ca
182,43,,Cory Anthony,Hematology Technician,418-758-6673,cory.anthony@healthcare.com
183,194,,Jack Coffey,Quality Control Analyst,438-434-5133,jack.coffey@hospital.ca
184,205,113,Garrett Jones,Pathology Assistant,450-319-0754,garrett.jones@medcenter.ca
185,215,,Henry York,Clinical Research Technician,418-470-7244,henry.york@hospital.ca
186,205,71,Daniel Gray,Quality Control Analyst,514-971-9171,daniel.gray@labservices.ca
187,280,,Heather Berry,Tissue Typing Specialist,450-003-9053,heather.berry@medcenter.ca
188,35,,Sandra Butler,Tissue Typing Specialist,438-978-8507,sandra.butler@labservices.ca
189,288,64,Cynthia Esparza,Laboratory Supervisor,438-345-1963,cynthia.esparza@hospital.ca
190,254,58,James Coleman,Clinical Trials Coordinator,450-899-5205,james.coleman@hospital.ca
191,180,,Kimberly Gillespie,Medical Lab Technician,418-408-5266,kimberly.gillespie@medcenter.ca
192,245,,Dr. Justin Smith Jr.,Serology Technician,450-632-9428,dr.justin.smith.jr@healthcare.com
193,135,,Kimberly Bass,Medical Laboratory Assistant,514-001-4848,kimberly.bass@healthcare.com
194,251,235,Jessica Wood,Tissue Typing Specialist,418-229-8509,jessica.wood@medcenter.ca
195,81,175,Heather Richards,Clinical Laboratory Technologist,450-013-5157,heather.richards@labservices.ca
196,163,239,Lauren Marquez,Clinical Biochemist,450-385-2591,lauren.marquez@healthcare.com
197,178,,Cassandra Berger,Pathology Assistant,418-796-6307,cassandra.berger@medcenter.ca
198,,,Charles White,Biomedical Scientist,438-955-9301,charles.white@hospital.ca
199,112,,Daniel Francis,Clinical Laboratory Technologist,438-200-2212,daniel.francis@healthcare.com
200,118,,Maurice Knight,Clinical Laboratory Technologist,514-469-9328,maurice.knight@labservices.ca
201,182,179,Jerry Carrillo,Medical Laboratory Assistant,514-761-2214,jerry.carrillo@medcenter.ca
202,79,,Juan Valentine,Blood Transfusion Officer,514-836-3261,juan.valentine@hospital.ca
203,,,Kyle White PhD,Immunology Technician,514-525-7484,kyle.white.phd@medcenter.ca
204,,156,Ryan Lewis,Biomedical Scientist,438-788-4358,ryan.lewis@healthcare.com
205,274,,Derek Parker,Serology Technician,438-620-4380,derek.parker@medcenter.ca
206,258,86,Douglas Klein,Certified Phlebotomist,418-756-4507,douglas.klein@labservices.ca
207,213,,Felicia Sexton,Diagnostic Technician,450-723-9338,felicia.sexton@hospital.ca
208,249,,Heather Hendricks,Medical Lab Technician,450-577-4305,heather.hendricks@healthcare.com
209,256,,Tiffany Keller,Blood Transfusion Officer,438-289-5331,tiffany.keller@labservices.ca
210,184,164,Samantha Barron,Pathology Assistant,418-485-0414,samantha.barron@healthcare.com
211,177,,Raven Green,Blood Transfusion Officer,450-218-1201,raven.green@labservices.ca
212,,,Michelle Mays,Quality Control Analyst,438-951-4782,michelle.mays@medcenter.ca
213,212,,Andrew Woods,Clinical Research Technician,438-967-7805,andrew.woods@healthcare.com
214,6,10,Bridget Payne,Pathology Assistant,514-027-6417,bridget.payne@healthcare.com
215,99,,Leah Harper,Certified Phlebotomist,418-800-4041,leah.harper@labservices.ca
216,223,,Robert Harper,Serology Technician,438-771-0519,robert.harper@medcenter.ca
217,97,4,Cory Smith,Biomedical Scientist,438-648-5891,cory.smith@labservices.ca
218,150,,John Davis,Serology Technician,450-644-2731,john.davis@medcenter.ca
219,106,,Jay Parker,Blood Transfusion Officer,514-527-3967,jay.parker@hospital.ca
220,,230,Joshua Roman,Serology Technician,450-484-6534,joshua.roman@labservices.ca
221,286,131,Ricky Jackson,Laboratory Supervisor,438-479-2376,ricky.jackson@hospital.ca
222,77,295,Kyle Farley,Diagnostic Technician,418-884-5643,kyle.farley@labservices.ca
223,42,294,Benjamin Mathews,Laboratory Supervisor,418-077-9506,benjamin.mathews@labservices.ca
224,117,3,Blake Richardson,Quality Control Analyst,418-077-1468,blake.richardson@labservices.ca
225,7,299,Jonathan Adams,Immunology Technician,438-819-5760,jonathan.adams@hospital.ca
226,255,,Wesley Conner,Serology Technician,418-809-2365,wesley.conner@healthcare.com
227,293,144,Johnathan Willis,Clinical Biochemist,450-096-4488,johnathan.willis@labservices.ca
228,148,237,Carmen Benitez,Clinical Research Technician,514-819-9290,carmen.benitez@labservices.ca
229,189,151,James Rios,Tissue Typing Specialist,418-545-1885,james.rios@healthcare.com
230,173,,Micheal Torres,Hematology Technician,450-359-5933,micheal.torres@medcenter.ca
231,235,185,Roger Ponce,Clinical Research Technician,438-562-4478,roger.ponce@medcenter.ca
232,249,26,Alison Johnson,Clinical Trials Coordinator,438-636-2658,alison.johnson@healthcare.com
233,186,,Tina Ward,Immunology Technician,438-657-8406,tina.ward@labservices.ca
234,52,250,David Davis,Quality Control Analyst,450-086-0427,david.davis@medcenter.ca
235,237,118,Stephanie Maynard,Clinical Biochemist,514-130-3714,stephanie.maynard@labservices.ca
236,265,286,Stephanie Lam,Tissue Typing Specialist,418-209-6289,stephanie.lam@hospital.ca
237,,,Jon Davis,Certified Phlebotomist,418-252-9304,jon.davis@hospital.ca
238,269,,Julie Caldwell,Biomedical Scientist,514-855-8124,julie.caldwell@healthcare.com
239,298,,Amanda Carey,Blood Bank Specialist,514-508-0874,amanda.carey@medcenter.ca
240,292,280,Brandon Lamb,Clinical Biochemist,514-644-1214,brandon.lamb@labservices.ca
241,258,,Erin Lee,Biomedical Scientist,450-639-2372,erin.lee@medcenter.ca
242,34,,Michael Baxter,Clinical Laboratory Technologist,418-392-0982,michael.baxter@healthcare.com
243,84,45,Robert Gibbs,Serology Technician,438-583-7718,robert.gibbs@hospital.ca
244,267,,Christina Alvarez,Hematology Technician,438-584-9422,christina.alvarez@healthcare.com
245,151,269,Julie Dunlap,Medical Lab Technician,438-657-2784,julie.dunlap@healthcare.com
246,52,,James Allen,Hematology Technician,438-582-7841,james.allen@healthcare.com
247,30,,Amy Christensen,Hematology Technician,438-903-4692,amy.christensen@medcenter.ca
248,185,,Shane Pace,Clinical Laboratory Technologist,438-077-1303,shane.pace@labservices.ca
249,198,112,Jeremy Patterson,Medical Lab Technician,418-548-0074,jeremy.patterson@medcenter.ca
250,274,,Lynn Kemp,Clinical Laboratory Technologist,450-421-4398,lynn.kemp@healthcare.com
251,253,245,Debbie Perez,Clinical Research Technician,438-100-8183,debbie.perez@labservices.ca
252,98,,Carmen Newman,Diagnostic Technician,514-683-1157,carmen.newman@medcenter.ca
253,,,Mrs. Mary Hansen,Medical Laboratory Assistant,514-694-0568,mrs.mary.hansen@hospital.ca
254,264,,Cynthia Morrison,Clinical Research Technician,438-190-9975,cynthia.morrison@labservices.ca
255,144,,Shelly Wilson,Serology Technician,514-117-1239,shelly.wilson@labservices.ca
256,186,,Kenneth Johnson,Clinical Biochemist,514-752-4324,kenneth.johnson@medcenter.ca
257,,,Misty Paul,Clinical Research Technician,438-620-3005,misty.paul@hospital.ca
258,200,287,Michaela Summers,Laboratory Supervisor,450-610-3862,michaela.summers@healthcare.com
259,27,,Aaron Hanson,Hematology Technician,418-603-9880,aaron.hanson@healthcare.com
260,188,28,Russell Spears,Clinical Trials Coordinator,514-862-5506,russell.spears@healthcare.com
261,190,,Laura Hansen,Clinical Research Technician,418-501-0592,laura.hansen@medcenter.ca
262,280,292,Tamara Ortega,Tissue Typing Specialist,438-974-4144,tamara.ortega@medcenter.ca
263,93,112,Cody Brown,Quality Control Analyst,418-536-0282,cody.brown@medcenter.ca
264,222,,Paul Smith,Immunology Technician,514-227-0335,paul.smith@labservices.ca
265,53,,Christina Willis,Pathology Assistant,450-045-8913,christina.willis@labservices.ca
266,175,97,Diane Russell,Serology Technician,514-493-6619,diane.russell@medcenter.ca
267,,,Keith Weber,Clinical Laboratory Technologist,418-388-7042,keith.weber@labservices.ca
268,89,,Christopher Rollins,Clinical Research Technician,418-290-3642,christopher.rollins@medcenter.ca
269,188,218,Linda Hanson,Immunology Technician,450-272-4185,linda.hanson@labservices.ca
270,77,,Caroline Bailey,Toxicology Technician,514-283-0199,caroline.bailey@hospital.ca
271,55,100,Stephen Williams,Clinical Trials Coordinator,514-459-2464,stephen.williams@labservices.ca
272,248,106,Kimberly Morse,Blood Bank Specialist,418-586-6125,kimberly.morse@medcenter.ca
273,,116,Ryan Brown II,Clinical Biochemist,514-208-3136,ryan.brown.ii@labservices.ca
274,9,,David Estes,Certified Phlebotomist,438-795-9628,david.estes@hospital.ca
275,13,176,Anna Brown,Pathology Assistant,514-158-4953,anna.brown@healthcare.com
276,175,,Olivia Carlson,Medical Laboratory Assistant,514-911-4633,olivia.carlson@medcenter.ca
277,36,156,John Rodriguez,Clinical Trials Coordinator,418-618-4924,john.rodriguez@labservices.ca
278,153,,Jeffery Robinson,Serology Technician,450-219-8420,jeffery.robinson@healthcare.com
279,57,,Heather Leonard,Clinical Trials Coordinator,418-137-8881,heather.leonard@healthcare.com
280,240,117,David Franklin,Certified Phlebotomist,418-564-6484,david.franklin@labservices.ca
281,33,123,Donald Davis,Biomedical Scientist,450-392-1114,donald.davis@medcenter.ca
282,65,,Bethany Woodard,Blood Transfusion Officer,514-272-2703,bethany.woodard@hospital.ca
283,260,299,Cynthia Nichols,Certified Phlebotomist,514-961-3748,cynthia.nichols@healthcare.com
284,45,,Derek Burnett,Laboratory Supervisor,514-278-3015,derek.burnett@labservices.ca
285,,69,Stephen Hill,Biomedical Scientist,514-412-5990,stephen.hill@medcenter.ca
286,199,,Dana Bennett,Blood Transfusion Officer,450-080-0787,dana.bennett@healthcare.com
287,110,292,Sarah Herring,Serology Technician,514-204-8797,sarah.herring@labservices.ca
288,42,,Brittney Davis,Quality Control Analyst,418-497-6004,brittney.davis@labservices.ca
289,158,,Dorothy Baker,Diagnostic Technician,418-717-6283,dorothy.baker@labservices.ca
290,166,,Lisa Rodriguez MD,Biomedical Scientist,514-013-6670,lisa.rodriguez.md@healthcare.com
291,18,74,Linda Cooper,Serology Technician,450-256-6847,linda.cooper@healthcare.com
292,197,,Keith Collins,Toxicology Technician,450-305-5157,keith.collins@medcenter.ca
293,127,179,Christian Myers,Biomedical Scientist,450-724-5012,christian.myers@healthcare.com
294,106,,Eduardo Gonzalez,Hematology Technician,514-776-1823,eduardo.gonzalez@healthcare.com
295,270,,Amber Cox,Clinical Research Technician,438-555-9626,amber.cox@medcenter.ca
296,274,206,Hannah Espinoza,Blood Transfusion Officer,450-727-0823,hannah.espinoza@medcenter.ca
297,10,1,Kathy White,Serology Technician,438-582-0258,kathy.white@healthcare.com
298,173,134,Jessica Long,Certified Phlebotomist,438-953-6582,jessica.long@hospital.ca
299,13,,William Perez,Clinical Trials Coordinator,438-911-9446,william.perez@labservices.ca
300,24,,Daniel Coleman,Blood Bank Specialist,450-965-5746,daniel.coleman@hospital.ca
301,209,211,Shannon Patterson,Toxicology Technician,418-927-2141,shannon.patterson@medcenter.ca
302,158,261,Gary Moore,Serology Technician,514-758-0807,gary.moore@healthcare.com
303,144,,Meghan Johnson,Blood Bank Specialist,450-114-1670,meghan.johnson@medcenter.ca
304,23,,Joanna Watkins,Diagnostic Technician,418-530-0486,joanna.watkins@medcenter.ca
